EmployeeID,LastName,FirstName,Department,Salary
821,Pearson,Anita,Engineering,119917.99
334,Liu,Alicia,Engineering,115245.92
771,Stout,Ashley,Engineering,113402.19
825,Sanchez,Andrew,Engineering,101220.9
985,Fisher,Angela,Engineering,99975.89
82,Green,Anthony,Engineering,94993.85
917,West,Alexis,Engineering,92513.26
261,Hensley,Amanda,Engineering,81907.0
403,Cook,Amy,Engineering,80585.49
103,Knox,April,Engineering,74933.87
28,Gray,Ashley,Engineering,73999.11
240,Harris,April,Engineering,65311.23
946,Robinson,Amber,Finance,105953.04
820,Wilson,Anna,Finance,98672.06
656,Rodriguez,Antonio,Finance,98105.04
339,Hahn,Amber,Finance,80589.8
24,Flores,Allison,Finance,80276.96
679,Adams,Allison,Finance,71069.0
712,Winters,Amber,Finance,69114.39
186,Robles,Andrew,Finance,67358.9
347,Henderson,Anne,Finance,61299.35
231,Oliver,Alan,Finance,60666.66
582,Roberts,Alvin,Finance,59291.11
595,Morris,Ashley,HR,88634.56
329,Fuentes,Angela,HR,88496.32
685,Mcdaniel,Angela,HR,87992.55
139,Webster,Angela,HR,85712.07
796,Adkins,Andrea,HR,75672.01
58,Jones,Alexander,HR,73838.7
52,Carpenter,Alicia,HR,72198.94
777,Bates,Alexis,HR,61832.38
295,Cruz,Abigail,HR,61697.0
375,Dickerson,Andrew,HR,59786.61
852,White,Amanda,HR,55911.59
835,Lara,Andres,HR,55081.45
211,Allen,Alan,HR,54514.89
611,Mcknight,Amy,HR,52046.21
373,Greene,Adam,IT,113693.77
514,Sandoval,Ann,IT,108683.92
786,Jones,Amy,IT,108460.87
863,Roberts,Ashley,IT,107886.23
862,Smith,Amy,IT,98817.23
84,Dennis,Andrew,IT,92645.65
900,Norman,Alec,IT,88089.82
547,Keith,Angela,IT,85648.82
95,Goodwin,Ashley,IT,64750.64
417,Lopez,Aaron,Legal,109587.0
138,Jackson,Angela,Legal,93038.24
895,Ray,April,Legal,77629.46
275,Ramirez,Anna,Legal,71156.59
488,Ellis,Adriana,Marketing,94838.5
727,Lam,Alyssa,Marketing,91706.58
551,Turner,Amy,Marketing,91471.47
669,Simmons,Adam,Marketing,90491.1
361,Taylor,Adriana,Marketing,83873.32
711,Smith,Angela,Marketing,71888.42
719,Harris,Alex,Marketing,58455.74
276,Joyce,Albert,Marketing,58255.92
729,Johnson,Abigail,Marketing,58140.54
884,Smith,Andrew,Marketing,56732.56
976,Pierce,Adam,Marketing,52423.59
536,Brown,Andrew,Marketing,51715.26
953,Collins,Aaron,Sales,82883.91
696,Rodriguez,Ann,Sales,77517.28
910,Smith,Amanda,Sales,77215.72
381,Gross,Angela,Sales,74555.82
616,Bradley,Angela,Sales,73502.72
185,Young,Anita,Sales,69887.31
839,Peters,Anna,Sales,65340.52
77,Anderson,Amber,Sales,59855.17
673,Martin,April,Sales,48514.05
130,Wilson,Antonio,Sales,45159.43
85,Coffey,Aaron,Support,73455.85
187,Walton,April,Support,69770.49
288,Robertson,Anna,Support,69576.79
819,Garza,Amber,Support,67954.63
585,Clark,Angela,Support,62727.86
939,Waters,Aaron,Support,58725.28
14,Marsh,Andrew,Support,58100.62
768,Gray,Andrew,Support,55630.36
430,Reed,Adam,Support,55226.32
521,Hamilton,Angie,Support,49766.7
38,Li,Adam,Support,49122.22
188,Rodriguez,Abigail,Support,46981.46
195,Krause,Brittney,Engineering,118068.2
850,Martin,Brian,Engineering,111928.98
888,Davis,Benjamin,Engineering,110818.68
354,Long,Beth,Engineering,97214.24
474,Bennett,Brenda,Engineering,96996.23
302,White,Becky,Engineering,90258.32
566,Johnson,Bradley,Engineering,64065.15
668,Shepherd,Brandon,Finance,109131.57
745,Gibson,Brian,Finance,99095.69
363,Craig,Blake,Finance,90347.77
106,Santos,Brandon,Finance,79727.74
315,Willis,Bonnie,Finance,68321.38
738,Pierce,Bryce,Finance,63907.66
851,Oliver,Brianna,Finance,61350.23
896,Weeks,Brooke,HR,72062.84
318,Duran,Brandon,HR,63080.28
446,Olson,Brian,HR,61288.04
948,Rodriguez,Benjamin,HR,57803.65
