EmployeeID,LastName,FirstName,Department,Salary
4986,Robertson,Erin,Engineering,119977.76
821,Pearson,Anita,Engineering,119917.99
4472,Porter,Bradley,Engineering,119902.74
11104,Swanson,Nicole,Engineering,119895.78
660,Olson,Rachel,Engineering,119877.3
3543,Mata,Joseph,Engineering,119866.34
8532,Davis,Christopher,Engineering,119854.99
150,Clark,Johnny,Engineering,119845.85
15501,Griffin,Rhonda,Engineering,119825.73
15742,Miller,Jonathan,Engineering,119793.59
4636,Marks,Christopher,Engineering,119701.13
14172,Pacheco,Judith,Engineering,119676.75
12360,Glover,Laura,Engineering,119633.35
8199,Bailey,Sara,Engineering,119558.86
12319,Chambers,Brenda,Engineering,119538.77
12291,Winters,William,Engineering,119535.96
6616,Cooper,Emily,Engineering,119530.28
3227,Hutchinson,Rachel,Engineering,119510.3
598,Taylor,Ronnie,Engineering,119499.08
13566,Jackson,Amanda,Engineering,119488.38
14372,Stevens,John,Engineering,119488.31
14902,Hill,Gina,Engineering,119480.83
13468,Bailey,Tammy,Engineering,119456.87
1405,Duran,Sean,Engineering,119456.34
8639,Reed,Jacob,Engineering,119420.16
10457,Cooper,Rachel,Engineering,119400.15
6293,Morgan,Brittany,Engineering,119392.97
15280,Ellis,Luis,Engineering,119365.45
10400,Thompson,Kimberly,Engineering,119328.08
4298,Payne,David,Engineering,119304.87
13193,Garcia,John,Engineering,119276.49
3699,Howell,Donald,Engineering,119275.3
10154,Christian,Andrew,Engineering,119255.99
6170,Thompson,David,Engineering,119239.8
11283,Cline,David,Engineering,119230.6
1104,Drake,Susan,Engineering,119132.54
7427,Martinez,David,Engineering,119123.16
3618,Hill,John,Engineering,119115.62
12141,Thomas,Rebekah,Engineering,119095.99
10031,Kane,Jacob,Engineering,119094.32
14147,Good,Sandra,Engineering,119090.04
3112,Valencia,Sandra,Engineering,119087.02
2105,Booth,Denise,Engineering,119067.25
10289,Vaughn,Heather,Engineering,119029.7
8470,Reyes,Ann,Engineering,118975.12
505,Johnson,Misty,Engineering,118974.58
7104,White,Jacob,Engineering,118953.91
9492,White,Amy,Engineering,118935.06
156,Hanson,Tammy,Engineering,118927.89
9297,Taylor,Bruce,Engineering,118909.06
5204,Mann,Joseph,Engineering,118751.18
5120,Larson,Susan,Engineering,118737.54
6249,Bennett,Anna,Engineering,118604.05
10391,Kennedy,Amanda,Engineering,118599.81
10977,Carson,William,Engineering,118592.97
10891,Wiggins,Don,Engineering,118565.03
11944,Marsh,Nichole,Engineering,118543.08
6400,Harper,Aaron,Engineering,118530.54
9105,Lara,George,Engineering,118518.19
15541,Browning,Robert,Engineering,118456.36
4660,Williams,Teresa,Engineering,118367.59
11917,Woods,Jerry,Engineering,118307.0
15018,Chen,Alexander,Engineering,118304.79
10989,Moore,Jeffery,Engineering,118252.2
9317,Richardson,Jennifer,Engineering,118243.83
15391,Gentry,Christopher,Engineering,118242.18
7232,Henderson,Mercedes,Engineering,118205.08
4990,Stephens,Christopher,Engineering,118200.7
14203,Chavez,Alexis,Engineering,118153.15
2848,Lopez,Gail,Engineering,118147.2
14382,Smith,David,Engineering,118145.52
13503,Davis,Danielle,Engineering,118133.76
11017,Anderson,Jennifer,Engineering,118127.17
7878,Ross,Rachel,Engineering,118095.65
10739,Castillo,Scott,Engineering,118086.0
195,Krause,Brittney,Engineering,118068.2
15766,Jones,Michele,Engineering,118035.29
15601,Lewis,Michelle,Engineering,117965.16
7636,Hicks,Angelica,Engineering,117885.53
14297,Kemp,Thomas,Engineering,117849.13
3815,Lynch,Jessica,Engineering,117788.02
9058,Smith,Jacob,Engineering,117786.33
14648,Martin,Bobby,Engineering,117627.88
2323,Cuevas,Andrew,Engineering,117527.01
2367,Martinez,Karen,Engineering,117525.87
8007,Holmes,Sarah,Engineering,117519.18
15670,Stewart,Gregory,Engineering,117510.77
5645,Washington,Lisa,Engineering,117401.31
9439,Rodriguez,Sean,Engineering,117392.09
7502,Day,Kelly,Engineering,117380.98
4340,Gonzales,Elizabeth,Engineering,117358.63
11511,Warren,Zachary,Engineering,117271.59
6106,Gonzalez,Kevin,Engineering,117271.15
15524,Mccarty,Beth,Engineering,117238.7
5778,Contreras,Mark,Engineering,117217.47
6795,Wong,Stephanie,Engineering,117208.26
5367,Nelson,Zachary,Engineering,117205.73
14890,Booker,Randall,Engineering,117182.42
12418,Butler,Patricia,Engineering,117173.89
2191,Douglas,Alicia,Engineering,117143.35
6387,Wall,Tiffany,Engineering,117088.19
15909,Cannon,Kelly,Engineering,117081.02
9688,Bradley,Michael,Engineering,117020.1
5897,Acosta,Eric,Engineering,117017.55
8757,Stone,Mitchell,Engineering,116990.52
7321,Perkins,Jeffrey,Engineering,116925.11
6358,Craig,Christine,Engineering,116918.01
5811,Jimenez,Sarah,Engineering,116871.14
7949,Dennis,Derrick,Engineering,116828.21
14444,Collins,Lindsay,Engineering,116795.44
1574,Deleon,Karen,Engineering,116781.83
11538,Hampton,Thomas,Engineering,116780.67
313,Thompson,Ebony,Engineering,116711.07
6772,Gilbert,Kristina,Engineering,116647.28
10775,Duffy,Frederick,Engineering,116639.97
5528,Baldwin,Robert,Engineering,116598.87
2537,Reeves,Karen,Engineering,116551.82
6554,Warren,Nicholas,Engineering,116550.31
14241,Hoffman,Michael,Engineering,116534.11
4925,Sanchez,Sarah,Engineering,116519.87
7378,Diaz,Angela,Engineering,116502.78
859,Johnson,Daniel,Engineering,116491.02
14205,Porter,Adam,Engineering,116459.97
897,Cooper,David,Engineering,116447.71
3491,Hill,Amy,Engineering,116436.29
9026,Mills,Kimberly,Engineering,116426.71
8945,Harmon,Victor,Engineering,116400.78
5973,Anderson,Steven,Engineering,116394.45
11759,Allen,Lydia,Engineering,116361.47
1284,Cox,Anthony,Engineering,116360.71
8173,Mooney,David,Engineering,116265.21
9283,Krause,Eric,Engineering,116229.61
10406,Davis,Brady,Engineering,116140.89
8350,Gray,Tiffany,Engineering,116081.03
15578,Perry,David,Engineering,116070.14
8703,Williams,Crystal,Engineering,116004.51
15246,Smith,William,Engineering,115924.26
11504,Farmer,Marc,Engineering,115911.69
7348,Johnston,Jennifer,Engineering,115911.26
6171,Gibson,Carlos,Engineering,115879.28
4049,Ayers,Levi,Engineering,115824.97
10139,Rhodes,Thomas,Engineering,115813.05
6729,Thomas,Jerome,Engineering,115725.39
413,Martin,Jennifer,Engineering,115721.83
8205,Hall,Sandra,Engineering,115694.08
10842,Edwards,Courtney,Engineering,115683.18
6804,Archer,Robert,Engineering,115643.74
12555,Lawrence,Nicole,Engineering,115629.74
1974,Gomez,Ryan,Engineering,115553.09
9447,Perry,Seth,Engineering,115518.25
4173,Raymond,Maurice,Engineering,115503.57
3008,Davis,Billy,Engineering,115495.56
6221,Blackwell,Tammy,Engineering,115474.09
1432,Knox,Dana,Engineering,115433.99
11871,Fowler,Mary,Engineering,115430.86
9866,Davis,Daniel,Engineering,115406.83
7276,Diaz,Eric,Engineering,115396.84
9711,Koch,Cody,Engineering,115388.26
14138,Swanson,Kyle,Engineering,115371.92
8316,Miller,Ana,Engineering,115368.56
5805,Green,Michael,Engineering,115349.22
13726,Murphy,Angela,Engineering,115317.98
5140,Bailey,Benjamin,Engineering,115299.41
15755,Morales,James,Engineering,115296.49
3985,Barber,Nicholas,Engineering,115282.48
2107,Perez,Daniel,Engineering,115280.44
9669,Williams,Sarah,Engineering,115261.65
11655,Gregory,Robert,Engineering,115248.23
334,Liu,Alicia,Engineering,115245.92
7089,Stanley,Rita,Engineering,115244.05
4645,Whitaker,Charles,Engineering,115237.16
15112,Baker,Benjamin,Engineering,115159.58
13026,Cordova,Lisa,Engineering,115153.4
13329,Myers,Melinda,Engineering,115107.43
14426,Flores,Anthony,Engineering,115105.05
