EmployeeID,LastName,FirstName,Department,Salary
3,Ortiz,Katie,Support,48762.13
4,Curry,Lori,Sales,88886.47
5,Miller,Maria,IT,63528.69
6,Young,Matthew,Finance,62481.5
7,Adams,Lori,Engineering,114848.74
8,Lewis,Kathy,Marketing,67528.3
9,Thomas,Laurie,Sales,58301.53
10,Blair,Courtney,Legal,96594.81
11,Gibson,Philip,Sales,63226.94
12,Ramirez,Christopher,Marketing,95382.49
13,Patterson,Paul,Sales,50422.63
14,Marsh,Andrew,Support,58100.62
15,Williams,Erin,Legal,119314.85
16,Murphy,Michael,Support,64298.91
17,Turner,Megan,Marketing,55347.12
18,Cunningham,Shannon,IT,96048.53
19,Gardner,Tracy,Support,70300.31
20,Ibarra,Katelyn,Sales,49964.7
21,Garcia,Matthew,Legal,99368.07
22,Grant,Justin,Marketing,84138.52
23,Pacheco,Cynthia,Finance,105885.62
24,Flores,Allison,Finance,80276.96
25,Peters,Misty,Finance,66487.72
26,Roth,Johnny,Sales,58446.11
27,Perkins,Daniel,Legal,90626.28
28,Gray,Ashley,Engineering,73999.11
29,Adams,Carly,Sales,55300.62
30,Robinson,Stephanie,Finance,70910.6
31,Murphy,Ebony,Engineering,107324.09
32,Fields,Brian,Marketing,91611.89
33,Martin,Rachel,IT,79315.96
34,Boyer,Susan,Engineering,109966.53
35,Black,Megan,Legal,84663.67
36,Klein,Matthew,Sales,63300.33
37,Alvarado,Heather,Support,76748.37
38,Li,Adam,Support,49122.22
39,Reilly,Justin,Marketing,78433.33
40,Perry,Michelle,HR,70668.96
41,Hall,Brooke,Legal,115813.6
42,Yates,Sarah,Engineering,111556.46
43,Perez,Michele,Sales,53630.72
44,Williams,Teresa,IT,111833.71
45,Esparza,Daniel,IT,100699.86
46,Jones,Sydney,Finance,60960.5
47,Davis,Scott,Marketing,81877.55
48,Thompson,Travis,Sales,46613.56
49,Durham,Jose,Marketing,66212.42
50,Rice,Glenn,Support,64280.77
51,Gibbs,Susan,Finance,101152.94
52,Carpenter,Alicia,HR,72198.94
53,Garcia,Mark,Sales,71286.38
54,Porter,Vanessa,Engineering,103723.56
55,Solis,Lucas,Legal,67630.98
56,Wood,Thomas,Support,60843.41
57,Parks,Martha,Finance,92565.8
58,Jones,Alexander,HR,73838.7
59,Lawrence,Jeffrey,Engineering,104355.47
60,Proctor,Heather,Support,41014.21
61,Hahn,Julia,Engineering,107647.48
62,Brown,James,Legal,94975.4
63,Mcclain,Michael,IT,113981.92
64,Davis,Jo,HR,69422.97
65,Robertson,Phillip,Finance,90612.44
66,Ford,Stephanie,HR,77828.95
67,Hall,Debbie,HR,59443.49
68,Sloan,Carl,Marketing,56525.36
69,Cook,Kathleen,HR,50613.24
70,Kramer,Destiny,Engineering,80128.9
71,Fleming,Richard,Engineering,67576.22
72,Franklin,Steven,Legal,78117.82
73,Hill,John,Sales,52652.07
74,Richardson,Evelyn,IT,110147.95
75,Page,Michelle,Legal,73174.07
76,Jenkins,Derrick,IT,100033.95
77,Anderson,Amber,Sales,59855.17
78,Collins,Jennifer,IT,103220.5
79,Conrad,Claire,Finance,60023.22
80,Oliver,Sarah,Legal,66485.53
81,Walters,Christopher,Finance,79804.33
82,Green,Anthony,Engineering,94993.85
83,Hodge,Mark,IT,102077.61
84,Dennis,Andrew,IT,92645.65
85,Coffey,Aaron,Support,73455.85
86,Robinson,Robert,IT,93109.43
87,Jackson,Julian,Sales,63278.16
88,Rodriguez,Tanner,Finance,101082.01
89,Duncan,Lisa,Sales,55692.6
90,Daniels,William,Marketing,86852.39
91,Anderson,Erika,Support,44961.28
92,Duran,David,IT,99220.02
93,Harris,Sharon,Sales,77066.52
94,Walker,Melanie,HR,87312.42
95,Goodwin,Ashley,IT,64750.64
96,Wright,Hannah,Support,44998.58
97,Lee,Jennifer,IT,109613.18
98,Mitchell,Bonnie,Legal,116925.06
99,Clay,Jacqueline,Legal,88656.03
100,Gonzalez,Michele,Engineering,81800.55
101,Powell,Megan,Finance,88277.29
102,Cooley,Manuel,IT,105302.76
103,Knox,April,Engineering,74933.87
104,Larsen,Mary,Marketing,95312.04
105,Sandoval,Elizabeth,Finance,67026.23
106,Santos,Brandon,Finance,79727.74
107,Noble,Ryan,Marketing,65188.4
108,Hernandez,Katherine,Support,76070.53
109,Gaines,Michelle,Finance,70643.96
110,Aguirre,Dominic,IT,107555.56
111,French,Bethany,Sales,75686.89
112,Freeman,Victoria,Marketing,96196.21
113,Santiago,Victor,Marketing,59282.48
114,Moore,Oscar,Legal,92627.72
115,Myers,Scott,Support,78914.83
116,Noble,Courtney,Legal,116768.98
117,Frank,Jennifer,Finance,65078.94
118,Jones,Brittney,Sales,58823.54
