EmployeeID,LastName,FirstName,Department,Salary
4891,Savage,Mark,Legal,124984.59
12564,Ortega,David,Legal,124980.65
1421,Robinson,Aaron,Legal,124872.99
4652,Wilson,Adrienne,Legal,124869.02
6937,Boyle,Kyle,Legal,124861.9
7221,Price,Vanessa,Legal,124853.57
1685,Wright,Eric,Legal,124775.65
6078,Jackson,Jessica,Legal,124765.74
14641,Valdez,Allison,Legal,124741.24
10577,Johnson,Rachel,Legal,124724.79
1395,Dalton,Matthew,Legal,124723.04
9921,Rogers,Patricia,Legal,124679.88
15862,Aguirre,Rebekah,Legal,124678.98
11328,Williams,Jennifer,Legal,124661.03
14616,Cole,Monique,Legal,124633.09
6728,White,Justin,Legal,124621.33
14271,Rhodes,Jillian,Legal,124558.72
6102,Lin,Jessica,Legal,124555.02
9347,Rodriguez,Cody,Legal,124480.36
13793,Ramirez,James,Legal,124471.75
824,Roberts,James,Legal,124450.58
7375,Johnson,Shawn,Legal,124439.29
7410,Valdez,Catherine,Legal,124434.25
3159,Martinez,Jesse,Legal,124430.01
14222,Cruz,Kenneth,Legal,124423.19
9023,Mcfarland,Dean,Legal,124409.94
10281,Sanchez,Spencer,Legal,124306.42
10516,Liu,Samantha,Legal,124289.31
7607,Bell,Sierra,Legal,124249.2
6521,Garrett,Christina,Legal,124244.87
1717,Lamb,Leslie,Legal,124147.1
10392,Gonzalez,Martha,Legal,124116.18
7893,Mcdonald,Frederick,Legal,124112.24
10551,Powell,Kevin,Legal,124102.62
9095,Wood,Jennifer,Legal,124086.25
13107,Jackson,Hannah,Legal,124072.73
3509,Jones,Christopher,Legal,124058.41
7268,George,Sarah,Legal,124013.88
2638,Barr,Allison,Legal,123978.01
15367,Hudson,Stephanie,Legal,123919.14
4683,Smith,Christian,Legal,123885.39
9475,Diaz,Jessica,Legal,123874.69
2378,Smith,Jamie,Legal,123854.75
8520,Johnson,Cindy,Legal,123769.8
6593,Mann,Steven,Legal,123758.73
12824,Rivas,Tina,Legal,123751.38
1841,Williams,Kelly,Legal,123701.29
11749,Cole,Tiffany,Legal,123667.72
623,Dudley,Gabriel,Legal,123653.32
13246,Robinson,Cheyenne,Legal,123599.81
14126,Johnson,David,Legal,123561.58
2582,Spears,Matthew,Legal,123493.46
7339,Rowland,Michael,Legal,123445.32
6611,Hoover,Amanda,Legal,123400.67
534,Fields,John,Legal,123331.32
13879,Allen,Joanne,Legal,123251.4
5514,Olson,Patricia,Legal,123222.91
450,Bennett,Destiny,Legal,123213.82
11784,Hanna,Jessica,Legal,123193.26
7043,Nelson,Michelle,Legal,123122.98
